cruiseId,shipName,sailDateStart,sailDateEnd,sourceType,category,description,amount,verified
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Play,Club Royale Entertainment,650,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,20,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,150,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,12.98,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Dining,Izumi,82.6,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Starbucks,4.07,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Vitality Cafe,2.36,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Spa,Spa/Salon,202.8,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Casino Bar,2,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Dining,Chef'S Table,117.99,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Play,Club Royale Entertainment,500,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,6.49,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Play,Club Royale Entertainment,500,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,12.98,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,1,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Shopping,Solera,110,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,10,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Dining Room,23.59,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Spotlight Bar,10,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,2,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Retail Cost,7 Night Western Caribbean,2150,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Casino Comp,7 Night Western Caribbean,-1350,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Taxes/Fees,7 Night Western Caribbean,175.25,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Amount Paid,7 Night Western Caribbean,175.25,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Balance Due,7 Night Western Caribbean,0,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Retail Cost,4 Night Showcase,1912,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Casino Comp,4 Night Showcase,-1210,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Taxes/Fees,4 Night Showcase,162.37,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Amount Paid,4 Night Showcase,162.37,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Balance Due,4 Night Showcase,0,TRUE
